term,normalized_text,categories,success_count,failure_count,total_count,avg_confidence,translation_de,translation_fr,translation_es,translation_it,sources,file_count,notes,verified
adenopathy,Lymphadenopathy,"Diagnosis, SymptomOrSign",6,0,6,0.962,Lymphadenopathie,,,,umls,4,Success: 6/6; Sources: umls; Files: 4,FALSE
pulmonary,Lung,BodyStructure,0,6,6,1,,,,,umls,6,Failed: 6/6; Sources: umls; Files: 6,FALSE
spine,Vertebral column,BodyStructure,0,6,6,0.993,,,,,umls,6,Failed: 6/6; Sources: umls; Files: 6,FALSE
sepsis,Sepsis,Diagnosis,0,6,6,0.99,,,,,umls,6,Failed: 6/6; Sources: umls; Files: 6,FALSE
clavicle,Bone structure of clavicle,BodyStructure,0,6,6,0.977,,,,,umls,5,Failed: 6/6; Sources: umls; Files: 5,FALSE
tip,Tip,SymptomOrSign,0,6,6,0.838,,,,,,5,Failed: 6/6; Files: 5,FALSE
Pneumomediastinum,Mediastinal Emphysema,Diagnosis,0,6,6,0.927,,,,,umls,5,Failed: 6/6; Sources: umls; Files: 5,FALSE
appearance,Appearance,SymptomOrSign,0,6,6,0.867,,,,,umls,6,Failed: 6/6; Sources: umls; Files: 6,FALSE
leads,Lead Device,TreatmentName,0,5,5,0.962,,,,,,5,Failed: 5/5; Files: 5,FALSE
scoliosis,"Scoliosis, unspecified",Diagnosis,5,0,5,0.954,Skoliose der Wirbelsäule,,,,umls,5,Success: 5/5; Sources: umls; Files: 5,FALSE
congestion,Congestion,SymptomOrSign,0,5,5,0.984,,,,,umls,4,Failed: 5/5; Sources: umls; Files: 4,FALSE
wheezing,Wheezing,SymptomOrSign,5,0,5,0.994,Pfeifgeräusch beim Atmen,,,,umls,4,Success: 5/5; Sources: umls; Files: 4,FALSE
CXR,Plain chest X-ray,ExaminationName,5,0,5,0.978,Röntgenaufnahme der Brust,,,,umls,4,Success: 5/5; Sources: umls; Files: 4,FALSE
Afib,Atrial Fibrillation,Diagnosis,5,0,5,0.998,Vorhofflimmern,,,,umls,3,Success: 5/5; Sources: umls; Files: 3,FALSE
fatigue,Fatigue,SymptomOrSign,5,0,5,0.98,Fatigue,,,,umls,5,Success: 5/5; Sources: umls; Files: 5,FALSE
PIC line,Peripherally inserted central catheter (physical object),TreatmentName,0,5,5,0.984,,,,,umls,5,Failed: 5/5; Sources: umls; Files: 5,FALSE
stable,Stable status,SymptomOrSign,5,0,5,0.886,Stabil,,,,umls,5,Success: 5/5; Sources: umls; Files: 5,FALSE
lesion,Lesion,SymptomOrSign,0,5,5,0.996,,,,,umls,3,Failed: 5/5; Sources: umls; Files: 3,FALSE
hypotension,Hypotension,"Diagnosis, SymptomOrSign",5,0,5,0.972,Hypotonie,,,,umls,5,Success: 5/5; Sources: umls; Files: 5,FALSE
rotated,Rotated,SymptomOrSign,0,5,5,0.996,,,,,umls,5,Failed: 5/5; Sources: umls; Files: 5,FALSE
chills,Chills,SymptomOrSign,5,0,5,0.988,Frösteln,,,,umls,5,Success: 5/5; Sources: umls; Files: 5,FALSE
feeding tube,Tube feeding of patient,TreatmentName,0,5,5,0.938,,,,,,5,Failed: 5/5; Files: 5,FALSE
within normal limits,Normal limits,SymptomOrSign,0,5,5,0.91,,,,,umls,5,Failed: 5/5; Sources: umls; Files: 5,FALSE
esophagus,Esophagus,BodyStructure,0,5,5,0.982,,,,,umls,5,Failed: 5/5; Sources: umls; Files: 5,FALSE
respiratory distress,Respiratory distress,SymptomOrSign,5,0,5,0.986,Atembeschwerden,,,,umls,5,Success: 5/5; Sources: umls; Files: 5,FALSE
Calcifications,Calcinosis,SymptomOrSign,0,5,5,0.98,,,,,umls,5,Failed: 5/5; Sources: umls; Files: 5,FALSE
trachea,Trachea,BodyStructure,0,5,5,0.95,,,,,umls,5,Failed: 5/5; Sources: umls; Files: 5,FALSE
CTA chest,CT angiography of thorax with contrast,ExaminationName,0,5,5,0.96,,,,,umls,5,Failed: 5/5; Sources: umls; Files: 5,FALSE
normal size,Normal size,SymptomOrSign,0,5,5,0.924,,,,,umls,5,Failed: 5/5; Sources: umls; Files: 5,FALSE
emphysema,Pathological accumulation of air in tissues,Diagnosis,0,5,5,0.946,,,,,umls,5,Failed: 5/5; Sources: umls; Files: 5,FALSE
air bronchograms,Air bronchogram on radiograph (finding),"ExaminationName, SymptomOrSign",2,3,5,0.914,Bronchopneumogramm,,,,umls,4,Success: 2/5; Failed: 3/5; Sources: umls; Files: 4,FALSE
Asthma,Asthma,Diagnosis,5,0,5,0.998,Asthma bronchiale,,,,umls,5,Success: 5/5; Sources: umls; Files: 5,FALSE
ascites,Ascites,Diagnosis,5,0,5,0.958,Aszites,,,,umls,4,Success: 5/5; Sources: umls; Files: 4,FALSE
crackles,Rales,SymptomOrSign,5,0,5,0.99,Rasselgeräusche,,,,umls,5,Success: 5/5; Sources: umls; Files: 5,FALSE
lung apex,Structure of apex of lung,BodyStructure,0,5,5,0.98,,,,,umls,3,Failed: 5/5; Sources: umls; Files: 3,FALSE
lead,"Plumbum metallicum, homeopathic preparation",TreatmentName,0,4,4,0.865,,,,,,4,Failed: 4/4; Files: 4,FALSE
changes,Changing,SymptomOrSign,0,4,4,0.902,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
chest tubes,Chest Tubes,TreatmentName,0,4,4,0.985,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
calcification,Calcification,SymptomOrSign,0,4,4,0.985,,,,,,4,Failed: 4/4; Files: 4,FALSE
AVR,aVR,TreatmentName,0,4,4,1,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
left upper lobe,Structure of left upper lobe of lung,BodyStructure,0,4,4,0.84,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
Febrile,Fever,SymptomOrSign,4,0,4,0.998,Fieber,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
hemidiaphragms,Structure of hemidiaphragm,BodyStructure,0,4,4,0.968,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
displaced,Spatial Displacement,SymptomOrSign,0,4,4,0.97,,,,,umls,2,Failed: 4/4; Sources: umls; Files: 2,FALSE
vascular engorgement,Hyperemia,SymptomOrSign,0,4,4,0.995,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
seizure,Seizures,SymptomOrSign,4,0,4,0.953,Krampfanfall,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
"lung
 base",Basal segment of lung,BodyStructure,0,4,4,0.985,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
interstitial lung disease,"Lung Diseases, Interstitial",Diagnosis,4,0,4,0.992,Interstitielle Lungenkrankheit,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
extubated,Tracheal Extubation,TreatmentName,0,4,4,1,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
6th rib,Rib 6,BodyStructure,0,4,4,0.912,,,,,,1,Failed: 4/4; Files: 1,FALSE
Hypertension,Hypertensive disease,Diagnosis,4,0,4,0.998,Arterielle Hypertonie,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
ARDS,"Respiratory Distress Syndrome, Adult",Diagnosis,4,0,4,0.982,Akutes Atemnotsyndrom des Erwachsenen,,,,umls,3,Success: 4/4; Sources: umls; Files: 3,FALSE
bronchoscopy,Bronchoscopy,ExaminationName,4,0,4,0.98,Bronchoskopie,,,,umls,3,Success: 4/4; Sources: umls; Files: 3,FALSE
Respiratory failure,Respiratory Failure,Diagnosis,4,0,4,0.963,Atemversagen,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
brachiocephalic vein,Structure of brachiocephalic vein,BodyStructure,0,4,4,0.965,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
acute pneumonia,Acute pneumonia,Diagnosis,0,4,4,1,,,,,,4,Failed: 4/4; Files: 4,FALSE
tachypnea,Tachypnea,SymptomOrSign,4,0,4,0.99,Tachypnoe,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
rib fracture,Rib Fractures,Diagnosis,4,0,4,0.818,Rippenfraktur,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
interstitial pulmonary edema,pulmonary edema interstitial,Diagnosis,0,4,4,0.95,,,,,,4,Failed: 4/4; Files: 4,FALSE
pulled,Does pull,SymptomOrSign,0,4,4,1,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
thoracentesis,Thoracentesis,TreatmentName,4,0,4,0.99,Thorakozentese,,,,umls,3,Success: 4/4; Sources: umls; Files: 3,FALSE
Nodular opacity,Nodular Opacity,SymptomOrSign,0,4,4,0.917,,,,,,3,Failed: 4/4; Files: 3,FALSE
costophrenic angles,Costophrenic angle,BodyStructure,0,4,4,0.917,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
thoracocentesis,Thoracentesis,TreatmentName,4,0,4,0.982,Thorakozentese,,,,umls,2,Success: 4/4; Sources: umls; Files: 2,FALSE
cp,Chest Pain,SymptomOrSign,4,0,4,0.958,Thoraxschmerzen,,,,umls,3,Success: 4/4; Sources: umls; Files: 3,FALSE
cirrhosis,Liver Cirrhosis,Diagnosis,4,0,4,0.998,Leberzirrhose,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
tension,Tension,SymptomOrSign,0,4,4,0.978,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
nodule,Nodule,SymptomOrSign,0,4,4,0.935,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
pneumothoraces,Pneumothorax,Diagnosis,4,0,4,0.855,Pneumothorax,,,,umls,4,Success: 4/4; Sources: umls; Files: 4,FALSE
thoracic,Chest,BodyStructure,0,4,4,0.96,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
widening,Widening,SymptomOrSign,0,4,4,0.96,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
Osseous,Skeletal bone,SymptomOrSign,0,4,4,0.925,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
rhonchi,Rhonchi,SymptomOrSign,0,4,4,0.982,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
hematoma,Hematoma,"Diagnosis, SymptomOrSign",0,4,4,0.968,,,,,umls,4,Failed: 4/4; Sources: umls; Files: 4,FALSE
esophagectomy,Esophagectomy,TreatmentName,4,0,4,1,Ösophagektomie,,,,umls,2,Success: 4/4; Sources: umls; Files: 2,FALSE
orogastric tube,orogastric tube,TreatmentName,0,4,4,0.95,,,,,,3,Failed: 4/4; Files: 3,FALSE
biopsy,Biopsy,ExaminationName,0,4,4,0.948,,,,,umls,3,Failed: 4/4; Sources: umls; Files: 3,FALSE
Evaluation,Evaluation,ExaminationName,0,3,3,0.82,,,,,,2,Failed: 3/3; Files: 2,FALSE
apical,Apical,BodyStructure,0,3,3,0.85,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
transfusion,Blood Transfusion,TreatmentName,3,0,3,0.993,Transfusion von Blutprodukt,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
Upright AP view,View AP upright,ExaminationName,0,3,3,0.973,,,,,,3,Failed: 3/3; Files: 3,FALSE
glenohumeral joints,Joint structure of shoulder region,BodyStructure,0,3,3,0.987,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
MVR,Missing Value Reason,TreatmentName,0,3,3,0.93,,,,,,3,Failed: 3/3; Files: 3,FALSE
process,Process,SymptomOrSign,0,3,3,0.867,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
"degenerative
 changes",Abnormal degeneration,SymptomOrSign,0,3,3,0.973,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
symptoms,Symptoms,SymptomOrSign,0,3,3,0.973,,,,,,3,Failed: 3/3; Files: 3,FALSE
descending thoracic aorta,Descending thoracic aorta,BodyStructure,0,3,3,0.907,,,,,umls,2,Failed: 3/3; Sources: umls; Files: 2,FALSE
PET-CT,PET/CT scan,ExaminationName,0,3,3,0.993,,,,,umls,1,Failed: 3/3; Sources: umls; Files: 1,FALSE
MR,Mitral Valve Insufficiency,Diagnosis,3,0,3,0.987,Mitralklappeninsuffizienz,,,,umls,1,Success: 3/3; Sources: umls; Files: 1,FALSE
coumadin,Coumadin,MedicationName,0,3,3,1,,,,,,1,Failed: 3/3; Files: 1,FALSE
nausea,Nausea,SymptomOrSign,3,0,3,0.997,Übelkeit,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
middle lobe,Structure of middle lobe of right lung,BodyStructure,0,3,3,0.937,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
heart border,Cardiac border,BodyStructure,0,3,3,0.917,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
Myalgias,Myalgia,SymptomOrSign,3,0,3,0.937,Myalgie,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
lung zone,Zone of lung,BodyStructure,0,3,3,0.947,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
treatment,Therapeutic procedure,TreatmentName,0,3,3,0.94,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
chest CTA,CT angiography of thorax with contrast,ExaminationName,0,3,3,0.97,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
dizziness,Dizziness,SymptomOrSign,3,0,3,0.997,Schwindelgefühl,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
Widened mediastinum,Widened mediastinum,SymptomOrSign,3,0,3,0.96,Mediastinalverbreiterung,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
AP and lateral views,Views AP & lateral,ExaminationName,0,3,3,0.94,,,,,,3,Failed: 3/3; Files: 3,FALSE
aorta,Aorta,BodyStructure,0,3,3,0.843,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
diabetes,Diabetes Mellitus,Diagnosis,3,0,3,1,Diabetes mellitus,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
calcified,Calcified (qualifier value),SymptomOrSign,0,3,3,0.99,,,,,,3,Failed: 3/3; Files: 3,FALSE
hemothorax,Hemothorax,Diagnosis,0,3,3,0.99,,,,,umls,1,Failed: 3/3; Sources: umls; Files: 1,FALSE
multiple myeloma,Multiple Myeloma,Diagnosis,3,0,3,1,Multiples Myelom,,,,umls,2,Success: 3/3; Sources: umls; Files: 2,FALSE
"thoracic
 spine",Thoracic spine structure,BodyStructure,0,3,3,0.963,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
MI,Myocardial Infarction,Diagnosis,3,0,3,0.99,Myokardinfarkt,,,,umls,1,Success: 3/3; Sources: umls; Files: 1,FALSE
prominence,Prominent,SymptomOrSign,0,3,3,0.987,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
pulmonary nodules,Multiple Pulmonary Nodules,SymptomOrSign,0,3,3,0.933,,,,,umls,2,Failed: 3/3; Sources: umls; Files: 2,FALSE
tube,biomedical tube device,TreatmentName,0,3,3,0.957,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
superimposed infection,Superinfection,Diagnosis,3,0,3,1,Superinfektion,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
endoscopy,Endoscopy (procedure),ExaminationName,3,0,3,0.99,Endoskopie,,,,umls,2,Success: 3/3; Sources: umls; Files: 2,FALSE
confusion,Confusion,SymptomOrSign,3,0,3,0.917,Verwirrtheitszustand,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
artery,Arteries,BodyStructure,0,3,3,1,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
thoracic vertebral body,Structure of body of thoracic vertebra,BodyStructure,0,3,3,0.95,,,,,umls,2,Failed: 3/3; Sources: umls; Files: 2,FALSE
Pacemaker,Artificial cardiac pacemaker,TreatmentName,3,0,3,0.99,Herzschrittmacher,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
fibrosis,Fibrosis,SymptomOrSign,0,3,3,0.937,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
dextroscoliosis,Dextroscoliosis,Diagnosis,0,3,3,0.96,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
clavicles,Bone structure of clavicle,BodyStructure,0,3,3,0.92,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
metastatic disease,Neoplasm Metastasis,Diagnosis,0,3,3,0.897,,,,,,3,Failed: 3/3; Files: 3,FALSE
ileostomy,Creation of ileostomy,TreatmentName,3,0,3,0.97,Anlage eines Ileostomas,,,,umls,2,Success: 3/3; Sources: umls; Files: 2,FALSE
lesions,Lesion,SymptomOrSign,0,3,3,0.923,,,,,umls,2,Failed: 3/3; Sources: umls; Files: 2,FALSE
aspiration pneumonia,Aspiration Pneumonia,Diagnosis,3,0,3,1,Aspirationspneumonie,,,,umls,2,Success: 3/3; Sources: umls; Files: 2,FALSE
stroke,Cerebrovascular accident,Diagnosis,3,0,3,0.993,Schlaganfall,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
pleural drain,drainage of pleura,TreatmentName,0,3,3,0.95,,,,,,3,Failed: 3/3; Files: 3,FALSE
deformity,Deformity,SymptomOrSign,0,3,3,0.977,,,,,umls,2,Failed: 3/3; Sources: umls; Files: 2,FALSE
sternal wires,Wiring of sternum,TreatmentName,0,3,3,0.973,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
"chest
 tube",Chest Tubes,TreatmentName,0,3,3,0.987,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
obscuration,Obscure,SymptomOrSign,0,3,3,0.987,,,,,,3,Failed: 3/3; Files: 3,FALSE
thoracic inlet,Structure of thoracic inlet,BodyStructure,0,3,3,0.943,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
Bronchial wall thickening,Bronchial wall thickening,SymptomOrSign,0,3,3,0.963,,,,,,2,Failed: 3/3; Files: 2,FALSE
central catheter,"Catheterization, Central Venous",TreatmentName,0,3,3,0.96,,,,,,3,Failed: 3/3; Files: 3,FALSE
interval changes,12-lead electrocardiogram: interval change,SymptomOrSign,0,3,3,0.9,,,,,,2,Failed: 3/3; Files: 2,FALSE
descending aorta,Descending aorta,BodyStructure,0,3,3,0.967,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
sternotomy,Sternotomy (procedure),TreatmentName,3,0,3,1,Sternotomie,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
bypass surgery,Bypass surgery,TreatmentName,0,3,3,0.993,,,,,,2,Failed: 3/3; Files: 2,FALSE
right lower lobe pneumonia,Right lower zone pneumonia,Diagnosis,0,3,3,1,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
"support
 devices","Support, device",TreatmentName,0,3,3,0.817,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
pigtail catheter,pigtail catheters,TreatmentName,0,3,3,0.993,,,,,,2,Failed: 3/3; Files: 2,FALSE
chest tube placement,chest tube placement,TreatmentName,0,3,3,0.967,,,,,,3,Failed: 3/3; Files: 3,FALSE
widening of the mediastinum,Widened mediastinum,SymptomOrSign,3,0,3,0.943,Mediastinalverbreiterung,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
atrium,Heart Atrium,BodyStructure,0,3,3,0.967,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
Increased density,Density above reference range,SymptomOrSign,0,3,3,0.897,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
amiodarone,amiodarone,MedicationName,3,0,3,1,Amiodaron,,,,umls,1,Success: 3/3; Sources: umls; Files: 1,FALSE
central line,"Central venous catheter, device",TreatmentName,3,0,3,0.987,Zentraler Venenkatheter,,,,umls,3,Success: 3/3; Sources: umls; Files: 3,FALSE
hemi thorax,Structure of half of thorax lateral to midsagittal plane,BodyStructure,0,3,3,0.953,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
rotation,x-ray of toe: rotation deformity,SymptomOrSign,0,3,3,0.93,,,,,,2,Failed: 3/3; Files: 2,FALSE
CT scanning,X-Ray Computed Tomography,ExaminationName,0,3,3,0.993,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
axilla,Axilla,BodyStructure,0,3,3,0.963,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
foreign body,Foreign Bodies,SymptomOrSign,3,0,3,0.923,Fremdkörper,,,,umls,1,Success: 3/3; Sources: umls; Files: 1,FALSE
widened,Widening,SymptomOrSign,0,3,3,0.99,,,,,umls,3,Failed: 3/3; Sources: umls; Files: 3,FALSE
reticular,Reticular,SymptomOrSign,0,3,3,0.983,,,,,umls,2,Failed: 3/3; Sources: umls; Files: 2,FALSE
PND,Paroxysmal nocturnal dyspnea,Diagnosis,0,3,3,0.98,,,,,umls,1,Failed: 3/3; Sources: umls; Files: 1,FALSE
drainage catheter,"Catheter, drainage",TreatmentName,0,3,3,0.997,,,,,,2,Failed: 3/3; Files: 2,FALSE
"right
 upper lobe",Structure of right upper lobe of lung,BodyStructure,0,3,3,0.833,,,,,umls,2,Failed: 3/3; Sources: umls; Files: 2,FALSE
Thrombocytopenia,Thrombocytopenia,Diagnosis,2,0,2,0.95,Thrombozytopenie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
dual-chamber pacemaker,dual-chamber pacemaker (procedure),TreatmentName,0,2,2,0.93,,,,,,2,Failed: 2/2; Files: 2,FALSE
cholangiocarcinoma,Cholangiocarcinoma,Diagnosis,2,0,2,1,Cholangiozelluläres Karzinom,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
wedge resection,Wedge resection - action,TreatmentName,2,0,2,1,Keilresektion,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
hemorrhage,Hemorrhage,SymptomOrSign,2,0,2,0.86,Blutung,,,,umls,1,Success: 2/2; Sources: umls; Files: 1,FALSE
trauma,Trauma,SymptomOrSign,0,2,2,1,,,,,,1,Failed: 2/2; Files: 1,FALSE
basal,Basal,BodyStructure,0,2,2,0.92,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
aortic arch,Aortic arch structure,BodyStructure,0,2,2,0.945,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
"chest tube
 placement",chest tube placement,TreatmentName,0,2,2,0.985,,,,,,2,Failed: 2/2; Files: 2,FALSE
antibiotics,Antibiotics,MedicationClass,0,2,2,0.995,,,,,,2,Failed: 2/2; Files: 2,FALSE
imaging,Diagnostic Imaging,ExaminationName,2,0,2,0.965,Bildgebende Diagnostik,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
finding,Finding,SymptomOrSign,0,2,2,0.825,,,,,,2,Failed: 2/2; Files: 2,FALSE
ectatic,Dilated,SymptomOrSign,0,2,2,0.99,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
"shortness of
 breath",Dyspnea,SymptomOrSign,2,0,2,0.99,Dyspnoe,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
peribronchial cuffing,Peribronchial Cuffing,SymptomOrSign,0,2,2,0.95,,,,,,2,Failed: 2/2; Files: 2,FALSE
NSTEMI,Non-ST Elevated Myocardial Infarction,Diagnosis,0,2,2,1,,,,,,2,Failed: 2/2; Files: 2,FALSE
difficulty breathing,Dyspnea,SymptomOrSign,2,0,2,0.995,Dyspnoe,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
pulmonary embolism,Pulmonary Embolism,Diagnosis,2,0,2,1,Lungenembolie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
Swan-Ganz catheter,Pulmonary artery flotation catheter,TreatmentName,2,0,2,0.97,Pulmonalarterienkatheter,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
obscuring,Obscure,SymptomOrSign,0,2,2,0.85,,,,,,2,Failed: 2/2; Files: 2,FALSE
granulomatous disease,Granulomatous disorder,Diagnosis,0,2,2,0.975,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
monitoring devices,Monitor Device,TreatmentName,0,2,2,0.945,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
CVA,Cerebrovascular accident,Diagnosis,2,0,2,0.995,Schlaganfall,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
"feeding
 tube",Tube feeding of patient,TreatmentName,0,2,2,0.93,,,,,,2,Failed: 2/2; Files: 2,FALSE
trach,trach,TreatmentName,0,2,2,0.975,,,,,,2,Failed: 2/2; Files: 2,FALSE
tracheostomy,Tracheostomy procedure,TreatmentName,0,2,2,0.965,,,,,,2,Failed: 2/2; Files: 2,FALSE
stent placement,Stenting,TreatmentName,0,2,2,0.98,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
coronary stent,Coronary artery stent (device),TreatmentName,0,2,2,0.915,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
malaise,Malaise,SymptomOrSign,0,2,2,1,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
hydropneumothorax,Hydropneumothorax,Diagnosis,0,2,2,0.94,,,,,umls,1,Failed: 2/2; Sources: umls; Files: 1,FALSE
palpitations,Palpitations,SymptomOrSign,2,0,2,1,Palpitationen,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
ventricle,Ventricle,BodyStructure,0,2,2,0.97,,,,,,2,Failed: 2/2; Files: 2,FALSE
interstitial markings,Interstitial marker,SymptomOrSign,0,2,2,0.985,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
Prominent vasculature,Prominent vasculature,SymptomOrSign,0,2,2,0.985,,,,,,1,Failed: 2/2; Files: 1,FALSE
Portable AP view,View AP portable,ExaminationName,0,2,2,0.97,,,,,,2,Failed: 2/2; Files: 2,FALSE
emphysematous changes,EMPHYSEMATOUS CHANGE,SymptomOrSign,0,2,2,0.985,,,,,,2,Failed: 2/2; Files: 2,FALSE
"pleural
 thickening",Thickening of pleura,SymptomOrSign,0,2,2,0.97,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
PPD,purified protein derivative of tuberculin,ExaminationName,2,0,2,0.995,Tuberkulin-gereinigtes Proteinderivat,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
"chest
 tubes",Chest Tubes,TreatmentName,0,2,2,0.93,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
desaturation,Oxygen saturation below reference range,SymptomOrSign,2,0,2,0.965,Sauerstoffsättigung unterhalb Referenzbereich,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
swelling,Swelling,SymptomOrSign,0,2,2,1,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
Lung apices,Structure of apex of lung,BodyStructure,0,2,2,0.86,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
"Heart
 size",heart size,SymptomOrSign,0,2,2,0.885,,,,,,2,Failed: 2/2; Files: 2,FALSE
contour,Contour form,SymptomOrSign,0,2,2,0.8,,,,,,1,Failed: 2/2; Files: 1,FALSE
"lung
 volumes",Lung Volumes,ExaminationName,0,2,2,0.85,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
lower extremity,Lower Extremity,BodyStructure,0,2,2,0.92,,,,,umls,2,Failed: 2/2; Sources: umls; Files: 2,FALSE
